0,2026-06-07T15:38:20.391463
5264059,2026-06-07T15:58:48.593707
10507703,2026-06-07T16:12:23.738753
15883602,2026-06-07T16:12:23.740150
15894193,2026-06-07T16:17:34.803192
21152131,2026-06-07T16:22:16.861135
26666562,2026-06-07T16:30:18.949122
32114739,2026-06-07T16:30:18.950281
32129679,2026-06-07T16:40:45.062838
37575962,2026-06-07T16:40:45.064087
37593443,2026-06-07T16:48:06.147413
42837000,2026-06-07T16:53:26.213317
48437950,2026-06-07T16:53:26.214638
48457639,2026-06-07T17:09:26.381630
53707702,2026-06-07T17:15:27.454584
59290145,2026-06-07T17:27:58.584967
64943812,2026-06-07T17:41:21.721840
70228787,2026-06-07T17:45:53.777981
75671272,2026-06-07T17:49:47.825670
80980135,2026-06-07T18:00:40.943263
86246385,2026-06-07T18:00:40.944596
86253915,2026-06-07T18:03:58.433722
