0,2026-06-03T12:50:13.989028
5354501,2026-06-03T13:08:13.201995
10597703,2026-06-03T13:19:36.338466
15842208,2026-06-03T13:19:36.338829
15844199,2026-06-03T13:26:41.435147
21180247,2026-06-03T13:26:41.435492
21189689,2026-06-03T13:42:02.633993
26618097,2026-06-03T13:42:02.634353
26627929,2026-06-03T13:52:31.765075
31876832,2026-06-03T14:00:42.882311
37372413,2026-06-03T14:00:42.882930
37382488,2026-06-03T14:06:34.971888
42664134,2026-06-03T14:06:34.972246
42664300,2026-06-03T14:06:34.972407
42670315,2026-06-03T14:06:34.972541
42673887,2026-06-03T14:15:18.581159
