0,2026-06-14T10:14:07.307456
5318243,2026-06-14T10:22:41.397507
10712179,2026-06-14T10:32:20.498924
15959311,2026-06-14T10:45:27.631077
21203950,2026-06-14T11:06:26.821872
26447971,2026-06-14T11:15:45.914047
31706961,2026-06-14T11:15:45.915116
31707223,2026-06-14T11:28:58.042407
37335732,2026-06-14T11:28:58.043503
37352686,2026-06-14T11:40:48.161849
42803558,2026-06-14T11:49:53.257708
48158275,2026-06-14T12:15:09.491676
54154832,2026-06-14T12:15:09.492864
54154879,2026-06-14T12:20:12.550925
59627018,2026-06-14T12:26:55.624113
64870673,2026-06-14T12:32:28.687110
70212653,2026-06-14T12:39:42.767567
75816393,2026-06-14T12:44:06.820141
81061232,2026-06-14T12:45:25.846087
86343584,2026-06-14T12:49:32.895516
91586753,2026-06-14T12:54:34.954937
97142144,2026-06-14T12:54:34.956628
97162695,2026-06-14T12:57:32.994750
102518169,2026-06-14T13:02:42.052105
107786469,2026-06-14T13:11:13.142649
113282984,2026-06-14T13:11:13.144024
113302628,2026-06-14T13:15:28.194452
118743398,2026-06-14T13:19:11.241027
124079979,2026-06-14T13:26:16.318329
129458602,2026-06-14T13:30:04.367569
134703685,2026-06-14T13:30:04.369599
134706328,2026-06-14T13:35:18.432521
140365564,2026-06-14T13:40:57.497723
145626033,2026-06-14T13:51:06.604546
151105705,2026-06-14T13:57:51.680787
156385016,2026-06-14T14:02:38.739237
161764310,2026-06-14T14:02:38.740405
161766496,2026-06-14T14:19:32.897320
167133151,2026-06-14T14:19:32.898486
167165769,2026-06-14T14:24:27.953276
172562277,2026-06-14T14:26:44.986991
177975875,2026-06-14T14:33:09.056605
183530342,2026-06-14T14:37:24.108121
189102982,2026-06-14T14:41:45.159099
194397850,2026-06-14T14:46:08.208650
200164915,2026-06-14T14:52:00.272837
205693245,2026-06-14T14:59:18.347500
210938019,2026-06-14T15:06:13.423022
216941288,2026-06-14T15:08:08.453544
222239792,2026-06-14T15:08:08.455790
222336253,2026-06-14T15:10:15.505323
227912088,2026-06-14T15:10:15.508153
227946962,2026-06-14T15:10:15.508791
