.gitignore	463	1781456082.403591
README.md	20	1781456082.584593
lab3/lab3	1659448	1781456082.608593
lab3/Makefile	239	1781456082.604593
lab3/lab3.c	5905	1781456082.608593
lab3/lab3_1.c	1798	1781456082.608593
lab4/lab4	1648744	1781456082.609751
lab4/Makefile	124	1781456082.608593
lab4/lab4.c	1871	1781456082.609751
lab2/test.c	177	1781456082.604593
lab2/test	1644120	1781456082.604593
lab2/\	1778	1781456082.585779
lab2/lab2	1649416	1781456082.598593
lab2/Makefile	334	1781456082.585692
lab2/lab2.c	1483	1781456082.598593
lab0/lab0.c	130	1781456082.585571
lab0/REFLECTION.md	1667	1781456082.584593
lab0/toRun.txt	43	1781456082.585571
lab1/lab1.c	1963	1781456082.585571
lab1/run	130	1781456082.585692
