.gitignore	463	1780421626.323141
README.md	20	1780421626.373140
lab2/lab2.c	1483	1780421626.379140
lab2/lab2	1649416	1780421626.379140
lab2/\	1778	1780421626.374409
lab2/test	1644120	1780421626.384140
lab2/Makefile	334	1780421626.374367
lab2/test.c	177	1780421626.384140
lab1/run	130	1780421626.374367
lab1/lab1.c	1963	1780421626.374307
lab3/lab3_2.c	2920	1780428911.150877
lab3/lab3_1.c	1798	1780421655.952366
lab3/lab3	16464	1780428641.303308
lab3/Makefile	265	1780428997.784336
lab0/toRun.txt	43	1780421626.374307
lab0/lab0.c	130	1780421626.374307
lab0/REFLECTION.md	1667	1780421626.373140
